"","X","Species","Limb_Width","Limb_Length","Observer","Volume"
"1",1,"Ursus arctos",9.32200267881731,68.6333496051255,"Bob",4684.28729301137
"2",2,"Ursus maritimus",11.5258030145835,53.2364254939132,"Bobby",5554.45118826787
"3",3,"Ursus thibetanus",15.2783204972456,52.6599109476733,"Bobbette",9654.3098663781
"4",4,"Ailuropoda melanoleuca",9.74513796542408,74.5221914648432,"Bobbette",5558.42158088283
"5",5,"Ursus arctos",12.1623472625504,73.8407485659881,"Bobby",8578.68597758472
"6",6,"Ursus arctos",13.2316644267873,35.60842031034,"Bob",4896.33974744719
"7",7,"Ailuropoda melanoleuca",13.4919770294442,27.1073009558567,"Bobbette",3875.49646518818
"8",8,"Ailuropoda melanoleuca",16.6921253225503,45.8087466092717,"Bobby",10024.473307628
"9",9,"Ursus arctos",11.1501030788255,72.8307901464597,"Bob",7111.52379712253
"10",10,"Ailuropoda melanoleuca",6.06180910247069,69.7899462981337,"Bob",2014.12887914249
"11",11,"Ursus arctos",11.3068652001139,69.3123386903318,"Bobby",6959.60935573614
"12",12,"Ursus arctos",10.3159260496793,66.0948448293939,"Bobbette",5524.25743826782
"13",13,"Ursus arctos",13.3751087417369,82.3488997545085,"Bobbette",11570.2388815439
"14",14,"Ursus americanus",11.8796851422216,62.7078815063873,"Bob",6950.59319789319
"15",15,"Ursus arctos",9.7540146111024,49.6757758624984,"Bobby",3711.94338651073
"16",16,"Ursus arctos",12.3541101069557,78.4017676225125,"Bob",9398.06990404074
"17",17,"Ursus maritimus",14.488651159997,61.8194311554764,"Bobbette",10192.2671425349
"18",18,"Ursus thibetanus",13.9478431436381,24.5206941010135,"Bobbette",3746.59500887184
"19",19,"Ursus americanus",10.7701903710982,105.810504590222,"Bobbette",9639.74235510682
"20",20,"Ursus arctos",10.5438457817276,64.976241041416,"Bobbette",5673.38890325338
"21",21,"Ursus maritimus",9.87112064526994,54.9418908713325,"Bobby",4204.61662462886
"22",22,"Ursus maritimus",16.8472525412551,45.7532138490206,"Bobby",10199.2833927763
"23",23,"Ursus thibetanus",12.4605075992185,80.896821522727,"Bob",9864.90275386912
"24",24,"Ursus arctos",13.1025553707757,83.185700591652,"Bobbette",11216.3245501269
"25",25,"Ursus maritimus",11.0478586351173,81.9899656314086,"Bobby",7859.71507818558
"26",26,"Ursus thibetanus",12.2426768257967,70.3374884555724,"Bobby",8279.98421969674
"27",27,"Ursus arctos",8.97866023216081,38.6135325178774,"Bob",2444.85153019409
"28",28,"Ursus arctos",17.8234763963121,65.5814841135796,"Bobby",16362.7370979876
"29",29,"Ursus thibetanus",12.6066765014724,56.5827727607234,"Bobbette",7062.7742375944
"30",30,"Ursus maritimus",9.56759896755029,31.2199203998188,"Bobbette",2244.54129187311
"31",31,"Ailuropoda melanoleuca",10.3555937026752,56.9640969083558,"Bobby",4797.78854755478
"32",32,"Ailuropoda melanoleuca",12.2385556640344,70.2179604189206,"Bobby",8260.34957539369
"33",33,"Ursus thibetanus",13.0331651652344,50.9212911986424,"Bobby",6793.42971795891
"34",34,"Ailuropoda melanoleuca",11.0926665814048,63.0712317980107,"Bob",6095.27231377181
"35",35,"Ailuropoda melanoleuca",15.8001679364702,43.799674147831,"Bobbette",8587.84439777561
"36",36,"Ursus thibetanus",14.4387877007699,48.0902905465757,"Bobbette",7874.24174828737
"37",37,"Ailuropoda melanoleuca",9.70249216772678,73.97984613756,"Bobbette",5469.78060251937
"38",38,"Ursus maritimus",15.1801683595063,80.0199099662985,"Bob",14482.4192691551
"39",39,"Ailuropoda melanoleuca",14.9921565738516,66.8114196162158,"Bob",11794.2084605118
"40",40,"Ursus arctos",11.5308975572524,37.5473692479051,"Bobbette",3920.9889878207
"41",41,"Ursus maritimus",9.41051458462129,51.0759581007045,"Bobbette",3552.49231925852
"42",42,"Ursus americanus",11.7359727057629,69.8421616538972,"Bobbette",7555.19600113388
"43",43,"Ailuropoda melanoleuca",15.1790628176034,69.5556503340545,"Bobby",12586.7096340072
"44",44,"Ursus americanus",18.2261353337866,88.1661906650843,"Bobby",23002.8231075103
"45",45,"Ursus americanus",10.542562228951,74.7962106266917,"Bob",6529.22783840116
"46",46,"Ailuropoda melanoleuca",14.3701122259033,57.9905889813721,"Bob",9405.19319033356
"47",47,"Ursus maritimus",7.45825165163979,66.5767862145813,"Bob",2908.61858261285
"48",48,"Ursus thibetanus",11.5377230589998,49.0829437993561,"Bobbette",5131.69343741693
"49",49,"Ursus maritimus",9.89098813188764,74.5113240707713,"Bobbette",5725.21135272693
"50",50,"Ailuropoda melanoleuca",10.7518879260933,51.2609802785718,"Bob",4654.21290511429
"51",51,"Ursus arctos",12.2981016393127,85.6040011150963,"Bobby",10168.5751215351
"52",52,"Ailuropoda melanoleuca",13.2395536884458,47.2505535362253,"Bobby",6504.94265167858
"53",53,"Ursus americanus",10.8118834673583,55.4299768304313,"Bob",5089.05671274315
"54",54,"Ailuropoda melanoleuca",9.8037950271477,64.526748608167,"Bobbette",4870.99976925147
"55",55,"Ailuropoda melanoleuca",13.4192889117297,75.6425401984496,"Bobby",10698.3054266654
"56",56,"Ursus maritimus",10.1260550489149,84.1356950615498,"Bobby",6775.64644505797
"57",57,"Ailuropoda melanoleuca",19.4182146588418,78.8783666497882,"Bobbette",23359.6529227897
"58",58,"Ursus arctos",14.5149227970958,58.2539096961188,"Bobby",9639.27609998644
"59",59,"Ursus thibetanus",13.7848912604518,65.5653017538734,"Bobby",9785.22091472412
"60",60,"Ursus americanus",14.7326748302386,66.0075834803878,"Bob",11252.4455996866
"61",61,"Ursus americanus",13.0602319651217,50.5805029448225,"Bob",6776.02197807228
"62",62,"Ursus americanus",16.2944046568113,74.2260270020611,"Bob",15478.293997734
"63",63,"Ursus thibetanus",9.87284399004283,60.4847561988458,"Bobbette",4630.41977916824
"64",64,"Ursus arctos",12.3123731665792,65.5056508630701,"Bob",7799.23824394071
"65",65,"Ailuropoda melanoleuca",14.7325897078326,53.3001295933654,"Bobbette",9086.07536522682
"66",66,"Ursus arctos",10.2825411183338,46.291026266958,"Bobbette",3844.03736300809
"67",67,"Ursus maritimus",8.83859309940289,56.8367767775258,"Bob",3487.27024390329
"68",68,"Ursus americanus",9.98235968104414,41.3453714578331,"Bobby",3235.81145269167
"69",69,"Ursus americanus",9.86885039151071,45.3774548351509,"Bobby",3471.06818608465
"70",70,"Ursus americanus",10.0427635954134,51.6278807473892,"Bobby",4089.59836784653
"71",71,"Ursus maritimus",11.6267830821378,62.8314589439327,"Bobby",6670.92665213203
"72",72,"Ursus americanus",16.5247377089044,40.7990812540619,"Bobbette",8750.02742878388
"73",73,"Ursus arctos",17.7793554523541,74.4987556602203,"Bobby",18495.7065127211
"74",74,"Ursus thibetanus",16.2065118094823,61.3552866728261,"Bobby",12656.7141291812
"75",75,"Ursus americanus",10.0795732584562,77.0085343189472,"Bobby",6144.87468202302
"76",76,"Ursus arctos",14.5785478810902,49.6984241964436,"Bobby",8295.85275631515
"77",77,"Ursus thibetanus",12.7322449048831,41.3635670531325,"Bobbette",5266.44838960171
"78",78,"Ursus arctos",11.5655723549956,51.1097083823756,"Bob",5369.4220782229
"79",79,"Ailuropoda melanoleuca",9.98694354203234,52.3674366129921,"Bob",4102.19580858183
"80",80,"Ailuropoda melanoleuca",12.2297768212656,44.5131613869422,"Bob",5228.96078067582
"81",81,"Ursus maritimus",8.59715742806359,61.8427338425851,"Bob",3589.94934141183
"82",82,"Ailuropoda melanoleuca",10.9605707073807,91.8602270947938,"Bob",8667.29806918717
"83",83,"Ursus maritimus",7.66411178327535,48.6087125043028,"Bobbette",2242.4752595248
"84",84,"Ursus americanus",13.3999622920282,85.9820045277935,"Bob",12125.6380276789
"85",85,"Ailuropoda melanoleuca",12.9985185928105,26.0220218582832,"Bob",3453.17539803914
"86",86,"Ursus maritimus",13.8821419280494,73.2956227941332,"Bobbette",11093.8140264092
"87",87,"Ursus arctos",13.3021751321326,32.8162453564774,"Bob",4560.6221701122
"88",88,"Ursus thibetanus",10.1023134492358,61.7292101392043,"Bobbette",4947.91556866665
"89",89,"Ursus thibetanus",11.6166664671741,29.1293917718456,"Bobbette",3087.33913769713
"90",90,"Ursus thibetanus",11.0331609986038,52.0947365894454,"Bob",4980.62264586281
"91",91,"Ursus thibetanus",12.2581963645134,54.2844233999522,"Bobbette",6406.4620617636
"92",92,"Ursus thibetanus",11.0268802880359,51.1533066898578,"Bobbette",4885.04888149249
"93",93,"Ursus maritimus",12.8992685435244,79.596900165891,"Bobby",10401.9845557902
"94",94,"Ursus thibetanus",14.8913554403804,49.7304721082031,"Bobbette",8661.25695930208
"95",95,"Ailuropoda melanoleuca",10.7631977241945,53.4267200051437,"Bobby",4861.0605530019
"96",96,"Ursus maritimus",13.6902522858359,49.9857444141516,"Bobby",7357.98585305871
"97",97,"Ursus americanus",13.1521740059061,63.1808090791826,"Bobby",8583.61354718193
"98",98,"Ursus americanus",13.0274308802093,48.3928098368795,"Bob",6450.42419655237
"99",99,"Ursus arctos",9.48627034491964,52.362780495207,"Bobbette",3700.8678330412
"100",100,"Ursus americanus",13.5207554935871,63.5514343601568,"Bob",9124.66978819344
